TRANSACTION_ID,CUSTOMER_ID,ACCOUNT_ID,AMOUNT,DATE_TIME
822876153,45022,9895153,602871.09,2022-12-11T01:41:17
884843420,45475,5659646,873070.46,2023-06-19T15:46:56
515418319,91581,3462018,494688.83,2022-10-14T04:25:12
197411524,42507,5177281,936700.1,2023-03-03T12:36:49
507156090,67261,3445951,532185.84,2022-01-26T03:33:08
396615081,78581,9025446,824983.72,2024-04-06T20:42:39
828026844,32273,4737308,79989.46,2020-12-06T18:31:31
183766004,92410,7768298,9758.18,2020-10-22T17:20:44
618760999,25303,5132779,791340.0,2022-05-24T01:04:33
414565316,96549,4565444,82016.95,2020-12-20T12:59:24
531036138,98680,9808948,124133.74,2022-06-17T23:29:39
393693447,14895,7910843,778821.31,2020-06-25T08:12:09
512453972,42507,8815146,896060.32,2020-05-27T00:41:04
696329929,56164,8092885,419218.83,2022-10-09T04:28:56
974328358,30281,5606894,340918.82,2022-05-18T03:39:38
492588341,70147,8089343,195134.66,2024-10-07T19:18:27
933355416,21086,3238651,351831.0,2022-02-03T22:28:31
232285170,96327,1429698,447683.54,2021-11-12T19:10:51
875956499,30281,4476977,629691.59,2020-05-24T06:56:21
981867776,46644,4149122,848368.77,2023-02-03T00:58:46
982929082,80976,6806002,14766.46,2023-02-04T02:38:50
238820942,96549,5953265,860278.96,2023-01-11T23:16:54
508924460,78581,7487604,163158.35,2022-07-12T19:46:22
563772071,92599,1391836,110235.08,2022-06-11T19:56:00
923992871,21086,1674668,791356.58,2020-12-10T05:22:32
206852428,79457,3032407,350426.27,2023-10-15T23:27:51
333621839,21086,1674668,928757.0,2023-03-10T03:23:49
645959076,51847,4557994,797139.58,2021-03-22T13:19:52
701782979,15884,1856960,364272.94,2023-01-03T07:07:49
513164966,80976,6806002,654382.97,2021-05-07T06:25:58
533981712,67261,4461213,288043.23,2023-12-21T17:48:19
315299238,79457,1992501,642597.92,2023-12-20T17:49:58
664710257,30281,9723141,550845.47,2021-04-23T22:49:19
263488237,74841,7576183,108409.75,2022-10-14T05:25:13
685720783,70147,9588033,47252.33,2022-08-22T17:04:05
336513138,46644,5193321,160458.3,2024-09-28T19:06:14
111901347,46644,4149122,69494.88,2022-05-24T18:13:56
659430546,91982,5490355,374523.9,2020-04-22T20:11:01
718095249,79457,3196511,951351.49,2021-02-06T13:28:13
900387634,91982,5080181,32066.2,2020-06-13T16:14:51
844419217,72080,5169719,195746.27,2021-11-09T15:12:16
691217357,80976,6806002,19125.09,2022-08-26T22:38:36
962967419,15884,5610728,630816.56,2022-09-04T00:08:32
630156058,73357,5038904,923312.07,2020-02-06T05:23:24
431941288,92850,8790591,369839.15,2023-09-17T03:28:33
405837002,92599,5257337,637104.5,2024-11-21T13:32:07
983586758,25303,9820584,279158.17,2024-12-09T10:31:08
289921641,67261,8398855,889459.78,2020-11-22T15:41:33
499270343,56164,9658884,435127.94,2023-11-10T17:48:15
302571061,30281,5606894,164851.27,2023-11-01T00:08:16
448427643,51847,4557994,994820.06,2021-09-10T06:13:08
237871175,67261,8703579,211367.17,2023-12-10T04:50:44
656594629,79457,8971294,840761.7,2024-11-07T01:14:38
155165146,91581,7236334,308473.4,2020-07-25T01:07:30
500670568,98680,3791085,859956.81,2024-03-27T00:29:32
289655806,78581,5585286,852546.7,2023-08-27T17:28:08
396337133,72080,2184161,619016.13,2020-04-25T07:12:07
425775023,78581,5585286,95189.29,2020-08-11T14:22:46
935118655,79457,6765940,955588.68,2020-12-20T17:45:28
359361998,45022,9459556,73008.6,2020-04-01T09:40:14
963210008,71300,3674890,43258.61,2024-11-14T17:50:23
492903442,80976,6806002,609702.44,2024-10-12T06:47:39
348471048,32273,4778047,122022.83,2024-09-26T21:40:09
522787497,51847,4557994,599436.11,2022-10-14T03:02:36
435662758,80976,6806002,652836.69,2024-03-10T10:46:06
773998005,78581,5675816,661184.89,2024-06-12T20:18:17
951185052,78581,1205291,205457.36,2022-12-09T04:04:34
642158983,78581,5585286,283608.21,2022-03-12T14:42:16
301371837,51847,4557994,659838.41,2023-11-14T02:21:12
742073738,96549,8641139,723078.29,2020-01-28T19:37:04
703070852,14895,7910843,526735.86,2023-11-17T11:43:51
796606982,72080,9509631,356547.01,2021-03-18T00:20:45
325086871,96327,1941851,994892.25,2022-03-05T14:39:08
954423500,45022,9459556,919700.71,2022-10-28T20:26:25
225466600,92410,8950664,931281.41,2022-08-28T10:26:20
609767936,70147,4086612,623285.72,2022-09-05T23:51:35
590909814,72080,3660843,744476.4,2020-10-12T04:56:02
957308668,15884,3818553,35779.95,2024-11-03T03:11:33
390443295,30281,2616652,293507.33,2022-03-28T11:57:18
639755475,91581,7236334,229339.89,2023-12-06T18:20:42
121041896,92850,4808841,51414.39,2021-01-03T14:31:17
590149838,91581,6369356,939386.78,2021-04-15T18:40:01
827477368,70147,4372212,888918.82,2022-08-17T23:07:53
146628656,92850,7430615,819587.0,2021-03-05T00:29:42
514301987,25303,5132779,816884.54,2023-12-22T12:09:53
836834802,92850,8944187,133571.07,2021-10-19T11:16:06
851091284,15884,3818553,237384.79,2022-06-27T06:01:44
837103229,70147,8235199,461519.34,2024-10-16T20:11:01
742111387,45475,7548580,118442.21,2022-07-01T21:41:16
743456635,18356,7187024,562285.29,2020-01-06T06:02:23
637675920,45475,1561887,649059.43,2022-02-06T10:57:31
906598295,92599,9466146,141410.62,2024-08-05T23:12:18
843348286,14895,7910843,255561.49,2023-05-26T16:29:59
354416918,19073,9795380,412656.9,2024-05-03T21:22:11
348899815,96327,1429698,96881.85,2021-01-19T09:22:03
538186001,96549,8065096,771388.75,2020-05-19T03:27:30
829042226,91581,3462018,275876.8,2020-08-28T04:23:39
852426822,80976,6806002,337389.85,2023-08-08T13:11:05
267727004,98680,9808948,544436.83,2022-05-03T03:45:34
396346811,42507,3806278,67238.91,2024-07-21T08:56:45
881899641,21382,5691537,362471.72,2021-10-27T03:21:52
157533784,45475,4667625,972473.7,2020-10-23T16:01:10
998880278,51847,4557994,580987.78,2020-12-22T05:42:08
974740918,91982,2221461,45038.7,2020-01-10T02:08:42
790010090,91982,8266713,614418.24,2023-01-01T16:52:54
154480892,15884,1255736,16661.07,2021-07-22T10:50:25
365752518,45022,9459556,345328.15,2021-10-11T21:13:49
951758350,30281,5996576,118898.49,2023-01-17T01:49:21
311187579,18356,1284106,620689.29,2020-09-12T03:08:50
318596205,92410,6894235,511375.31,2023-03-03T02:59:58
583859457,15884,5610728,475583.73,2023-07-09T00:29:32
877649646,79457,6793166,72982.64,2021-04-28T14:43:51
846133088,21382,5296596,129162.77,2023-06-21T11:18:24
630243600,42507,8951601,558211.71,2022-06-26T02:09:42
270616625,79457,8950520,663041.47,2022-07-06T13:44:09
934357259,25303,3531676,67125.3,2020-05-23T10:59:00
580162462,67261,7945586,709400.01,2022-03-23T14:59:51
914189606,32997,6520353,600049.06,2024-03-20T14:21:00
713049056,30281,7141592,943651.96,2024-10-12T16:08:07
826015595,45475,5349254,511476.23,2024-09-13T21:45:52
149434522,21382,6289090,707511.21,2023-11-28T17:53:43
992907653,13720,6352513,645990.23,2023-07-06T14:39:43
129808956,78581,7487604,177232.42,2024-08-02T07:03:23
594689616,79457,1992501,716993.48,2022-12-27T19:39:00
731597765,70147,4086612,449299.08,2022-08-21T07:35:01
694796026,70147,4086612,181938.97,2021-11-15T15:29:53
251298055,19073,2495587,457969.13,2022-03-06T10:08:46
304600735,67261,7945586,572313.13,2023-12-10T08:04:57
242984325,92410,6426293,757987.13,2021-09-06T15:38:36
216773313,92599,8423945,124595.53,2022-06-21T01:51:15
324374553,21086,2496226,649946.84,2023-02-25T05:31:13
377799480,92850,2292388,893732.55,2023-02-18T07:00:35
320176300,72080,3660843,396092.71,2022-06-28T12:06:53
408052064,90657,6654597,416304.9,2023-05-17T09:14:49
100322890,32997,2857569,941605.75,2024-05-24T11:23:39
164254461,25303,9820584,335832.96,2021-10-06T18:22:41
539935470,14895,7910843,74963.01,2024-03-05T21:02:02
413930236,42507,2227385,783492.29,2024-11-11T05:07:21
219009307,92850,1095763,894553.17,2021-07-22T02:50:43
378718081,92850,6484381,97941.1,2021-02-15T04:39:24
983416772,80976,6806002,56765.88,2024-01-23T05:50:26
925628382,96549,7330911,242490.34,2024-09-28T12:15:49
233777676,71300,4975183,701010.16,2021-12-09T00:58:48
834459346,80976,6806002,760613.65,2021-12-08T19:22:34
705474368,79457,1096049,518548.74,2023-01-08T21:37:35
364612570,70147,1175753,477062.12,2021-01-11T22:27:06
450156602,25303,3531676,742837.77,2023-02-10T20:52:06
381366461,56164,6231278,351592.09,2020-07-23T17:42:07
172368374,67261,8019535,299307.33,2024-06-17T15:36:28
959554729,25303,1633443,23587.98,2023-09-09T04:52:14
411327340,92850,8944187,68336.1,2024-04-26T22:24:31
241155382,21382,8496645,890822.1,2020-06-09T11:22:04
750447319,98680,3297416,696459.24,2024-05-28T15:14:12
656009669,15884,3818553,927770.36,2024-04-03T02:24:53
163451306,98680,3791085,931801.04,2020-11-25T13:24:57
754793335,46644,4429334,937947.89,2022-04-27T23:14:32
826170819,67261,8703579,759624.44,2022-04-08T21:53:57
377871779,46644,4429334,268805.13,2021-06-08T14:02:07
285672807,30281,6068411,321583.49,2021-12-27T11:19:41
106298483,92410,1226341,22695.82,2024-02-19T00:56:20
953664192,98680,8664921,840290.06,2022-05-25T16:53:54
749856805,91581,3462018,199116.24,2022-04-22T12:34:48
855326441,45022,9459556,523269.11,2022-07-18T07:19:06
666846793,92599,8150376,629004.77,2021-08-24T05:12:58
919596418,98680,4460708,607004.27,2023-10-05T15:08:20
796553468,46644,4309048,470278.13,2022-07-20T06:05:40
692909039,56164,9658884,919351.85,2022-08-25T10:25:29
307969267,92850,2292388,105703.37,2024-07-10T17:22:10
213905863,74841,8266934,534178.63,2020-10-08T11:44:10
262709151,91982,9679996,25162.39,2021-02-04T12:45:00
476023754,51847,4557994,96445.01,2020-10-16T03:50:28
383496894,71300,6952532,404998.01,2022-11-17T01:47:18
531861068,70147,7270324,610026.33,2020-03-05T15:56:36
117331074,96549,2303868,121546.21,2022-09-17T05:37:51
877255176,67261,3205358,847483.37,2021-08-12T07:55:42
735661251,90657,4869960,706186.21,2023-10-10T00:31:54
981453741,32273,6646105,985349.56,2020-08-11T18:15:17
603416286,96327,1429698,478275.54,2024-08-22T18:23:32
865370617,92850,4808841,739899.3,2020-09-26T19:56:31
687101065,18356,1284106,504719.35,2020-07-13T21:10:00
564080736,19073,4695994,423595.17,2023-10-26T03:28:38
151941785,73357,5038904,369345.05,2022-02-06T21:00:06
568956665,21382,8496645,40126.63,2024-11-21T09:44:41
361739369,19073,9795380,864259.68,2020-04-13T18:18:06
790093754,92850,2292388,925802.49,2020-05-09T01:48:51
562358208,13720,6352513,405114.74,2022-10-18T09:25:08
503785201,18356,2369672,219916.42,2023-12-27T13:07:47
640554074,25303,5132779,57368.24,2024-07-24T12:31:11
192923294,72080,4222803,194943.72,2024-12-09T15:34:16
424383354,72080,6041847,390509.43,2023-09-12T06:07:01
463296672,13720,3440701,484774.24,2022-05-18T16:29:40
305892981,91581,1750996,154906.16,2022-10-26T20:21:35
507662875,72080,9509631,598023.92,2021-05-09T11:04:26
750317542,78581,9025446,86477.69,2023-05-15T20:36:46
106938556,72080,6041847,767852.12,2023-11-15T01:04:25
915742741,79457,8950520,606508.11,2020-09-08T11:20:45
891159968,19073,2495587,419256.35,2023-12-06T09:23:46
847241497,45022,6851938,871943.19,2020-01-21T20:24:09
445751279,90657,1432575,742646.77,2023-07-25T02:03:24
502725760,92850,7430615,134747.47,2024-07-02T08:57:23
479127588,80976,6806002,600561.63,2020-08-27T18:25:50
442290998,32273,4778047,365446.1,2020-05-01T12:59:47
705032721,18356,7187024,207872.85,2020-08-03T14:55:21
160687835,18356,2369672,733077.05,2020-11-26T11:39:18
821889754,18356,7187024,551236.26,2020-03-07T23:18:32
